speaker_id,sentence_id,repetition,phoneme_raw,phoneme,onset,offset,duration_ms,l1_status,gender,F1,F2,F3,f0,SCG,F1_25,F2_25,F1_75,F2_75,formant_qc_fail,F1_norm,F2_norm
AB,13,1,ʁ,ʁ,2.11,2.19,80.0,ru,f,726.6541212426264,1318.6610579521812,,,,,,,,False,0.8604441232364161,-0.8711526200025445
AB,13,1,w,w,2.19,2.23,40.0,ru,f,507.7515565294759,1024.8298094328122,,217.5300416918182,,,,,,False,-0.34555270886865075,-1.39842929566161
AB,13,1,a,a,2.23,2.39,160.0,ru,f,770.4023571629117,1307.8146662257702,2798.8922064418903,214.44412294618544,,691.0901171713348,1269.2038244292453,706.5387965244657,1228.3535568376738,False,1.1014656663105509,-0.890616340764773
AB,13,1,f,f,2.39,2.54,150.0,ru,f,1429.0498354337,1809.4249488053224,,,4416.623578985328,,,,,False,4.73014298815667,0.009517336669865458
AB,13,1,w,w,2.54,2.62,80.0,ru,f,456.4966199920594,768.3997743682762,,98.64174217708624,,,,,,False,-0.6279308124549227,-1.8585899392599143
AB,13,1,a,a,2.62,2.77,150.0,ru,f,817.0729437071146,1405.4572919749858,2947.283010200462,216.9223902375851,,877.0056799537244,1406.0416407845885,309.6174233186295,1289.0600726958278,False,1.3585872747236332,-0.7153978118741168
AB,14,1,d,d,0.58,0.7,120.0,ru,f,221.3811638502196,757.0615396816123,,198.405280115032,,,,,,False,-1.9232491001029364,-1.8789362663560003
AB,14,1,i,i,0.7,0.93,230.0,ru,f,481.2564647651541,2728.9677829288307,3796.368661094256,208.98905452281124,,469.44391918866063,2736.100730232432,284.9468077805447,2472.9963925530437,False,-0.49152174662741954,1.6596259998769312
AB,14,1,k,k,1.04,1.09584,55.84,ru,f,1494.739459296869,2348.724684543823,,,,,,,,False,5.092045912341075,0.977284288881092
AB,14,1,a,a,1.09584,1.21,114.16,ru,f,936.8949733206402,1777.3476153149852,2829.3222915168053,194.4215800622419,,852.8052327312048,1862.849334904895,825.7666700264602,1766.1072540760813,False,2.0187211033047214,-0.04804505620706942
